,Borough,Neighborhood,ID,Name,Likes,Rating,Tips
0,Bronx,Kingsbridge,4baf59e8f964a520a6f93be3,Bikram Yoga,23,8.8,5
1,Manhattan,Marble Hill,4baf59e8f964a520a6f93be3,Bikram Yoga,23,8.8,5
2,Bronx,Pelham Parkway,0,0,0,0.0,0
3,Brooklyn,Bay Ridge,4b32d9d5f964a520071525e3,Bikram Yoga,18,7.2,5
4,Brooklyn,Greenpoint,4a9a86dcf964a520cc3120e3,goodyoga,30,9.1,7
5,Brooklyn,Greenpoint,55b51009498e4c7fd1fea655,New Love City,37,8.9,9
6,Brooklyn,Greenpoint,5172d6477043c222fb3a8b97,Maha Rose,30,8.8,3
7,Brooklyn,Greenpoint,4be738c8bcef2d7fe10606e5,Usha Veda Yoga,23,8.6,8
8,Brooklyn,Greenpoint,4b79ee03f964a520e31a2fe3,hosh yoga,20,8.8,0
9,Brooklyn,Greenpoint,56b22714498e31102864ef29,Lucent Yoga,14,8.3,7
10,Brooklyn,Sheepshead Bay,4db0dc040437a93f7f7d4c16,Hot Spot Yoga,12,7.5,6
11,Brooklyn,Sheepshead Bay,57eff309498e62932825361c,Sakshi Bhava Yoga,4,6.9,2
12,Brooklyn,Flatbush,4b9a7fe7f964a5201cbb35e3,Third Root Community Health Center,12,7.9,2
13,Brooklyn,Crown Heights,50e354a8e4b0869e71bdedce,Urban Asanas,20,8.8,4
14,Brooklyn,Kensington,4cbb6442a33bb1f7870a94fd,Jaya Yoga East,10,7.0,5
15,Brooklyn,Windsor Terrace,4a637a42f964a52021c51fe3,Jaya Yoga Center,9,7.7,2
16,Brooklyn,Windsor Terrace,4cbb6442a33bb1f7870a94fd,Jaya Yoga East,10,7.0,5
17,Brooklyn,Prospect Heights,589248e2fc73d40beda9e917,Jewel City Yoga,18,8.7,3
18,Brooklyn,Williamsburg,54a96fb3498ef8abe4184a51,Laughing Lotus Yoga Center,54,8.6,5
19,Brooklyn,Williamsburg,59da542c829b0c160a0a9373,Y7 Studio,36,8.9,1
20,Brooklyn,Williamsburg,58275fad88a1a041b74ddacb,Loom Yoga,8,7.9,0
21,Brooklyn,Bushwick,53c2029d498e83aa022c2fab,Daya Yoga Studio,39,8.7,3
22,Brooklyn,Bedford Stuyvesant,58a0777fe6160c5d3bb28f3d,Namastuy,7,7.5,1
23,Brooklyn,Brooklyn Heights,4fa968b7e4b07cb43c311f1c,Area Yoga & Spa,37,8.5,10
24,Brooklyn,Brooklyn Heights,59b1b5e12a7ab6050123b1d5,Heatwise,24,8.9,1
25,Brooklyn,Brooklyn Heights,4a5ddf2cf964a520c8bd1fe3,Bikram Yoga Brooklyn Heights,11,8.0,2
26,Brooklyn,Brooklyn Heights,57db1eab498e0847385285cc,Yoga Vida,40,8.9,10
27,Brooklyn,Brooklyn Heights,4a7ed3a4f964a52027f21fe3,Mala Yoga,37,8.9,14
28,Brooklyn,Cobble Hill,4a7ed3a4f964a52027f21fe3,Mala Yoga,37,8.9,14
29,Brooklyn,Cobble Hill,5474bd3c498e09ca697faeb2,Brooklyn Yoga Project,21,8.2,2
30,Brooklyn,Carroll Gardens,4b01c3d9f964a5203e4522e3,Prema Yoga,33,8.5,5
31,Brooklyn,Carroll Gardens,5474bd3c498e09ca697faeb2,Brooklyn Yoga Project,21,8.2,2
32,Brooklyn,Gowanus,4b01c3d9f964a5203e4522e3,Prema Yoga,33,8.5,5
33,Brooklyn,Fort Greene,4b894d9cf964a520ef2932e3,Lucky Lotus Yoga,5,8.2,7
